"time","rtt"
0.443, 17.463
0.443, 18.436999999999998
0.451, 20.149
0.49200000000000005, 20.254
0.49200000000000005, 18.263
0.40700000000000003, 21.027
0.40700000000000003, 33.198
0.40700000000000003, 24.937
0.416, 18.849999999999998
0.408, 21.815
0.464, 26.306
0.386, 34.464
0.386, 24.135
0.383, 15.65
0.437, 17.279
0.434, 20.592
0.634, 18.98
0.4, 23.233
0.367, 20.806
0.46, 21.432
0.465, 22.311
0.465, 15.658999999999999
0.465, 23.832
0.778, 17.547
0.778, 22.89
0.778, 20.832
0.358, 18.523
0.437, 18.114
0.437, 20.198
0.412, 27.39
0.412, 27.674
0.412, 21.456
0.46299999999999997, 19.952
0.46299999999999997, 20.202
0.46299999999999997, 21.016
0.878, 25.672
0.878, 24.989
0.878, 16.023
